Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Brandon Ingram (26449867),Brandon Ingram,26449867,SG/G/UTIL,8000,MIA@NOP 01/18/2023 08:00PM ET,NOP,36.83
SG,Jalen Green (26449875),Jalen Green,26449875,SG/G/UTIL,7800,CHA@HOU 01/18/2023 08:00PM ET,HOU,33.96
C,Alperen Sengun (26449873),Alperen Sengun,26449873,C/UTIL,7700,CHA@HOU 01/18/2023 08:00PM ET,HOU,33.41
SG,Bradley Beal (26449878),Bradley Beal,26449878,SG/G/UTIL,7600,WAS@NYK 01/18/2023 07:30PM ET,WAS,37.57
PG/SG,Josh Giddey (26449881),Josh Giddey,26449881,PG/SG/G/UTIL,7500,IND@OKC 01/18/2023 08:00PM ET,OKC,36.62
PF/C,Jaren Jackson Jr. (26449885),Jaren Jackson Jr.,26449885,PF/C/F/UTIL,7500,CLE@MEM 01/18/2023 08:00PM ET,MEM,35.48
SG,Desmond Bane (26449889),Desmond Bane,26449889,SG/G/UTIL,7400,CLE@MEM 01/18/2023 08:00PM ET,MEM,36.71
PG/SG,Terry Rozier (26449892),Terry Rozier,26449892,PG/SG/G/UTIL,7400,CHA@HOU 01/18/2023 08:00PM ET,CHA,35.99
PG/SG,Tyler Herro (26449896),Tyler Herro,26449896,PG/SG/G/UTIL,7300,MIA@NOP 01/18/2023 08:00PM ET,MIA,38.32
C,Rudy Gobert (26449900),Rudy Gobert,26449900,C/UTIL,7300,MIN@DEN 01/18/2023 10:00PM ET,MIN,32.82
PG/SG,Jordan Clarkson (26449902),Jordan Clarkson,26449902,PG/SG/G/UTIL,7200,LAC@UTA 01/18/2023 09:00PM ET,UTA,34.24
C,Myles Turner (26449906),Myles Turner,26449906,C/UTIL,7100,IND@OKC 01/18/2023 08:00PM ET,IND,35.69
SG/SF,Kelly Oubre Jr. (26449908),Kelly Oubre Jr.,26449908,SG/SF/F/G/UTIL,7100,CHA@HOU 01/18/2023 08:00PM ET,CHA,32.85
PG/SG,Spencer Dinwiddie (26449913),Spencer Dinwiddie,26449913,PG/SG/G/UTIL,7000,ATL@DAL 01/18/2023 07:30PM ET,DAL,30.77
C,Jonas Valanciunas (26449917),Jonas Valanciunas,26449917,C/UTIL,6900,MIA@NOP 01/18/2023 08:00PM ET,NOP,31.26
PG,D'Angelo Russell (26449919),D'Angelo Russell,26449919,PG/G/UTIL,6800,MIN@DEN 01/18/2023 10:00PM ET,MIN,33.24
C,Jarrett Allen (26449922),Jarrett Allen,26449922,C/UTIL,6700,CLE@MEM 01/18/2023 08:00PM ET,CLE,32.72
SF,RJ Barrett (26449924),RJ Barrett,26449924,SF/F/UTIL,6600,WAS@NYK 01/18/2023 07:30PM ET,NYK,32.21
PG,Jamal Murray (26449927),Jamal Murray,26449927,PG/G/UTIL,6500,MIN@DEN 01/18/2023 10:00PM ET,DEN,33.9
SG/SF,Buddy Hield (26449930),Buddy Hield,26449930,SG/SF/F/G/UTIL,6400,IND@OKC 01/18/2023 08:00PM ET,IND,31.79
C,Mason Plumlee (26449935),Mason Plumlee,26449935,C/UTIL,6300,CHA@HOU 01/18/2023 08:00PM ET,CHA,31.69
PF,Aaron Gordon (26449937),Aaron Gordon,26449937,PF/F/UTIL,6200,MIN@DEN 01/18/2023 10:00PM ET,DEN,32.13
PF/C,Evan Mobley (26449940),Evan Mobley,26449940,PF/C/F/UTIL,6100,CLE@MEM 01/18/2023 08:00PM ET,CLE,32.97
C,Thomas Bryant (26449944),Thomas Bryant,26449944,C/UTIL,6100,SAC@LAL 01/18/2023 10:30PM ET,LAL,24.9
C,Steven Adams (26449946),Steven Adams,26449946,C/UTIL,6000,CLE@MEM 01/18/2023 08:00PM ET,MEM,29.31
SG/SF,Norman Powell (26449948),Norman Powell,26449948,SG/SF/F/G/UTIL,6000,LAC@UTA 01/18/2023 09:00PM ET,LAC,24.37
SF/PF,Harrison Barnes (26449953),Harrison Barnes,26449953,SF/PF/F/UTIL,5900,SAC@LAL 01/18/2023 10:30PM ET,SAC,26.2
PG/SG,Victor Oladipo (26449957),Victor Oladipo,26449957,PG/SG/G/UTIL,5800,MIA@NOP 01/18/2023 08:00PM ET,MIA,25.83
C,Clint Capela (26449966),Clint Capela,26449966,C/UTIL,5700,ATL@DAL 01/18/2023 07:30PM ET,ATL,32.16
PG/SF,Terance Mann (26449961),Terance Mann,26449961,PG/SF/F/G/UTIL,5700,LAC@UTA 01/18/2023 09:00PM ET,LAC,18.03
SF,Tim Hardaway Jr. (26449972),Tim Hardaway Jr.,26449972,SF/F/UTIL,5600,ATL@DAL 01/18/2023 07:30PM ET,DAL,23.17
PF/C,John Collins (26449979),John Collins,26449979,PF/C/F/UTIL,5600,ATL@DAL 01/18/2023 07:30PM ET,ATL,28.94
SG/SF,Bennedict Mathurin (26449983),Bennedict Mathurin,26449983,SG/SF/F/G/UTIL,5600,IND@OKC 01/18/2023 08:00PM ET,IND,25.52
SF/PF,Naji Marshall (26449975),Naji Marshall,26449975,SF/PF/F/UTIL,5600,MIA@NOP 01/18/2023 08:00PM ET,NOP,20.75
SF/PF,Kyle Anderson (26449968),Kyle Anderson,26449968,SF/PF/F/UTIL,5600,MIN@DEN 01/18/2023 10:00PM ET,MIN,23.13
C,Mitchell Robinson (26450000),Mitchell Robinson,26450000,C/UTIL,5500,WAS@NYK 01/18/2023 07:30PM ET,NYK,25.58
PG,T.J. McConnell (26449988),T.J. McConnell,26449988,PG/G/UTIL,5500,IND@OKC 01/18/2023 08:00PM ET,IND,18.67
SF,Michael Porter Jr. (26449994),Michael Porter Jr.,26449994,SF/F/UTIL,5500,MIN@DEN 01/18/2023 10:00PM ET,DEN,28.27
PF,PJ Washington (26449991),PJ Washington,26449991,PF/F/UTIL,5500,CHA@HOU 01/18/2023 08:00PM ET,CHA,28.41
PG,Dennis Schroder (26449997),Dennis Schroder,26449997,PG/G/UTIL,5500,SAC@LAL 01/18/2023 10:30PM ET,LAL,21.62
PG/SG,Immanuel Quickley (26450004),Immanuel Quickley,26450004,PG/SG/G/UTIL,5400,WAS@NYK 01/18/2023 07:30PM ET,NYK,24.59
C,Onyeka Okongwu (26450012),Onyeka Okongwu,26450012,C/UTIL,5400,ATL@DAL 01/18/2023 07:30PM ET,ATL,23.88
C,Walker Kessler (26450002),Walker Kessler,26450002,C/UTIL,5400,LAC@UTA 01/18/2023 09:00PM ET,UTA,21.98
PF/C,Jabari Smith Jr. (26450008),Jabari Smith Jr.,26450008,PF/C/F/UTIL,5400,CHA@HOU 01/18/2023 08:00PM ET,HOU,25.83
SF,Gordon Hayward (26450019),Gordon Hayward,26450019,SF/F/UTIL,5400,CHA@HOU 01/18/2023 08:00PM ET,CHA,27.01
SG/SF,Kevin Huerter (26450014),Kevin Huerter,26450014,SG/SF/F/G/UTIL,5400,SAC@LAL 01/18/2023 10:30PM ET,SAC,27.56
PG,Mike Conley (26450022),Mike Conley,26450022,PG/G/UTIL,5300,LAC@UTA 01/18/2023 09:00PM ET,UTA,26.88
PF/C,Jarred Vanderbilt (26450025),Jarred Vanderbilt,26450025,PF/C/F/UTIL,5300,LAC@UTA 01/18/2023 09:00PM ET,UTA,25.17
C,Ivica Zubac (26450032),Ivica Zubac,26450032,C/UTIL,5300,LAC@UTA 01/18/2023 09:00PM ET,LAC,27.58
SG/SF,Bogdan Bogdanovic (26450034),Bogdan Bogdanovic,26450034,SG/SF/F/G/UTIL,5200,ATL@DAL 01/18/2023 07:30PM ET,ATL,27.42
PG/SG,Andrew Nembhard (26450039),Andrew Nembhard,26450039,PG/SG/G/UTIL,5200,IND@OKC 01/18/2023 08:00PM ET,IND,20.44
PF/C,Kelly Olynyk (26450043),Kelly Olynyk,26450043,PF/C/F/UTIL,5200,LAC@UTA 01/18/2023 09:00PM ET,UTA,26.37
